Código Receita|Receita||Jan|Fev|Mar|Abr|Mai|Jun|Jul|Ago|Set|Out|Nov|Dez|Total|
 1.1.1.8.01.4.2.0001| Multas e Juros de Mora do Itbi| Previsto| 405,39| 547,10| 340,81| 1.342,71| 202,74| 171,26| 4.662,56| 1.011,56| | | | | 8.684,13|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| | | | | 102,94|
 | | Arrecadado| 447,30| 466,86| 766,40| 400,21| 2.923,09| 3.375,04| 3.155,97| 2.242,11| 897,61| | | | 14.674,59|
 1.1.1.8.01.4.4.0001| Mult.jur.mora da Div.ativa do Itbi| Previsto| 722,71| 784,98| 1.637,65| 716,72| 1.313,98| 1.594,72| 1.944,79| 1.583,63| 19.021,00| 19.021,00| 19.021,00| 160.889,82| 228.252,00|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 2,80| | | | 4,75|
 | | Arrecadado| 416,75| 341,57| 603,90| 300,07| 2.769,01| 3.083,17| 2.452,82| 1.332,61| 748,11| | | | 12.048,01|
 1.1.1.8.02.3.1.0001| Imposto Sobre Servicos de Qualquer Natureza-issqn| Previsto| 2.773.698,76| 2.415.232,10| 526,53| 6.279.255,83| 2.852.784,83| 3.015.223,52| 3.103.323,38| 3.749.900,71| 3.127.788,00| 3.127.788,00| 3.127.788,00| 3.960.146,34| 37.533.456,00|
 | | %| 100,00| 100,00| 527.321,49| 55,79| 100,00| 100,00| 100,00| 100,00| 10,27| | | | 65,30|
 | | Arrecadado| 100.546,51| 28.744,53| 59.045,74| 81.690,11| 45.037,87| 32.633,60| 32.819,34| 48.207,20| 11.237,35| | | | 439.962,25|
 1.1.1.8.02.3.3.0001| Rec.divida Ativa do Imp.s/serv.de Qualq.natureza| Previsto| 122.085,43| 352.798,62| 238.329,40| 350.185,92| 365.902,28| 285.073,21| 392.093,51| 419.104,21| 300.399,41| 300.399,41| 300.399,41| 178.022,19| 3.604.793,00|
 | | %| 100,00| 100,00| 100,00| 100,12| 99,89| 100,00| 100,00| 100,00| 63,89| | | | 75,39|
 | | Arrecadado| 63.315,31| 62.357,54| 74.269,71| 102.956,61| 81.694,47| 65.444,28| 73.638,42| 952.261,42| 50.849,78| | | | 1.526.787,54|
 1.1.1.8.02.3.9.0001| Atualizacao Monetaria da Divida Ativa do Iss| Previsto| 22.045,01| 15.657,34| 19.884,20| 17.527,04| 73.568,23| 70.847,90| 146.356,69| 317.029,78| | | | | 682.916,19|
 | | %| 100,00| 100,00| 100,00| 100,06| 99,98| 100,00| 100,00| 100,00| | | | | 108,07|
 | | Arrecadado| 13.760,82| 9.324,81| 66.284,50| 416.597,27| 30.026,62| 18.450,20| 14.708,02| 18.281,98| 5.938,86| | | | 593.373,08|
 1.1.2.1.01.1.1.0002| Taxa de Controle e Fiscalizacao Ambiental| Previsto| 10.349,61| 5.806,94| 17.906,45| 7.167,52| 12.482,43| 73.196,28| 59.134,16| 22.041,09| | | | | 208.084,48|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| | | | | 101,21|
 | | Arrecadado| 91.688,02| 74.805,53| 1.986.905,52| 215.259,88| 200.349,21| 361.954,17| 345.132,03| 152.341,37| 32.835,96| | | | 3.461.271,69|
 1.1.2.1.01.1.1.0004| Taxa de Publicidade Comercial| Previsto| 16.867,42| 3.108,05| 46.849,57| 25.935,25| 282.887,02| 10.249,14| 7.595,24| 8.276,08| 40.488,23| | | | 442.256,00|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 3,46| | | | 91,16|
 | | Arrecadado| | | | | | | | | | | | | |
 1.1.2.1.01.1.1.0006| Taxa de Autorizacao de Funcionamento de Transporte| Previsto| 1.105,84| 254,53| 480,80| 528,88| | | 1.586,64| 96,16| 767,25| 767,25| 767,25| 2.852,40| 9.207,00|
 | | %| 100,00| 100,00| 100,00| 100,00| | | 100,00| 100,00| 6,27| | | | 44,54|
 | | Arrecadado| 34.469,09| 43.201,27| 43.623,15| 32.924,50| 34.626,22| 32.595,25| 31.497,48| 36.371,58| 13.846,14| | | | 303.154,68|
 1.1.2.1.01.1.1.0008| Tx.fisc.obras Serv.ex.v.log.publico| Previsto| | | | | | | | 8,34| | | | 36.078,66| 36.087,00|
 | | %| | | | | | | | 100,00| | | | | 0,02|
 | | Arrecadado| 283,97| 47,44| | 2.298,07| 1.294,29| 281,70| 65,52| 282,25| | | | | 4.553,24|
 1.1.2.1.01.1.2.0001| Mult.jur.mora Tx.de Fisc.e Vigilancia Sanitaria| Previsto| 1.973,69| 307,34| | 3.095,98| 3.033,37| 2.306,87| 2.251,20| 2.878,13| 1.833,41| 1.833,41| 1.833,41| 654,19| 22.001,00|
 | | %| 100,00| 100,00| | 83,10| 100,00| 100,00| 100,00| 100,00| 51,55| | | | 76,32|
 | | Arrecadado| 22.844,53| 12.195,98| 35.488,72| 31.545,63| 38.881,00| 84.733,99| 86.576,71| 39.431,55| 10.145,94| | | | 361.844,05|
 1.1.2.1.01.1.3.0001| Rec.div.ativa da Tx.de Fisc.e Vigilancia Sanitaria| Previsto| 1.695,75| 7.405,36| 6.794,55| 5.175,53| 10.580,04| 20.105,57| 20.355,10| 29.127,16| | | | | 101.239,06|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| | | | | 112,29|
 | | Arrecadado| 11.364,46| 51.457,09| 47.847,45| 31.064,64| 102.568,89| 102.838,07| 202.553,96| 110.365,42| 49.014,46| | | | 709.074,44|
 1.1.2.1.01.1.3.0003| Rec.da Tx.fisc.oc.per.areas V.l.pub| Previsto| 29,67| 146,16| 285,18| 215,49| 902,08| 1.804,26| 1.529,64| 1.385,11| 1.224,00| 1.224,00| 1.224,00| 9.969,59| 19.939,18|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 47,50| | | | 34,50|
 | | Arrecadado| 1.962,00| 3.466,54| 11.230,29| 3.388,07| 12.604,50| 21.511,65| 11.467,28| 15.050,69| 7.138,86| | | | 87.819,88|
 1.1.2.1.01.1.3.0005| Rec.div.ativa Tx.lic.exec.obras| Previsto| | | | | 40.974,60| | | | | | | | 40.974,60|
 | | %| | | | | 100,00| | | | | | | | 100,00|
 | | Arrecadado| 1.597.890,30| 1.497.316,61| 1.488.615,95| 1.585.289,87| 1.654.787,35| 1.630.295,52| 1.774.234,28| 1.872.469,67| 1.705.695,63| | | | 14.806.595,18|
 1.1.1.3.03.4.1.0001| Retido nas Fontes - Outros Rendimentos| Previsto| 145.487,09| 287.848,05| 120.894,59| 109.629,62| 76.348,23| 510.489,77| 109.944,39| 227.793,79| | | | | 1.588.435,53|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| | | | | 103,42|
 | | Arrecadado| 454.853,08| 14.142.089,13| 3.263.288,05| 2.479.145,59| 2.248.821,06| 2.108.092,69| 2.079.345,56| 2.116.895,75| 921.387,97| | | | 29.813.918,88|
 1.1.1.8.01.1.2.0001| Multas e Juros de Mora do Iptu| Previsto| 80.242,20| 112,06| 27.381,71| 49.636,95| 46.358,02| 45.856,22| 53.696,66| 62.083,70| 61.924,41| 61.924,41| 61.924,41| 191.952,25| 743.093,00|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 47,04| | | | 53,09|
 | | Arrecadado| 339.097,31| 376.227,16| 346.038,29| 244.317,73| 725.811,30| 777.474,28| 936.035,36| 715.411,10| 410.668,62| | | | 4.871.081,15|
 1.1.1.8.01.1.4.0001| Mult.jur.mora da Divida Ativa do Iptu| Previsto| 316.781,95| 260.275,74| 260.729,87| 207.134,98| 183.474,59| 197.026,91| 293.760,85| 319.821,92| 266.612,33| 266.612,33| 266.612,33| 360.504,20| 3.199.348,00|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 58,14| | | | 68,58|
 | | Arrecadado| 151.652,65| 100.738,81| 104.682,60| 82.492,74| 257.580,63| 271.913,03| 326.447,79| 260.989,92| 115.657,54| | | | 1.672.155,71|
 1.1.1.8.01.4.1.0001| Imp.s/tr.inter Vivos-bens Imov.e Dir.reais S/imov.| Previsto| 223.576,38| 27.071,84| 187.937,11| 447.123,81| 311.287,68| 275.766,72| 714.944,32| 1.821.392,54| 103.326,60| | | | 4.112.427,00|
 | | %| 100,00| 764,90| 100,00| 59,74| 100,00| 100,00| 100,00| 100,00| 130,96| | | | 100,78|
 | | Arrecadado| 405,39| 547,10| 340,81| 1.342,71| 202,74| 171,26| 4.662,56| 1.011,56| 255,56| | | | 8.939,69|
 1.1.1.8.01.4.3.0001| Receita da Divida Ativa do Itbi| Previsto| 447,30| 466,86| 766,40| 400,21| 2.923,09| 3.375,04| 3.155,97| 2.242,11| 35.955,75| 35.955,75| 35.955,75| 309.824,77| 431.469,00|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 2,50| | | | 3,40|
 | | Arrecadado| 722,71| 784,98| 1.637,65| 716,72| 1.313,98| 1.594,72| 1.944,79| 1.583,63| 533,07| | | | 10.832,25|
 1.1.1.8.01.4.9.0001| Atualizacao Monetaria da Divida Ativa do Itbi| Previsto| 416,75| 341,57| 603,90| 300,07| 2.769,01| 3.083,17| 2.452,82| 1.332,61| 4.390,25| 4.390,25| 4.390,25| 28.212,35| 52.683,00|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 17,04| | | | 22,87|
 | | Arrecadado| 2.773.698,76| 2.415.232,10| 2.776.505,85| 3.503.276,51| 2.852.784,83| 3.015.223,52| 3.103.323,38| 3.749.900,71| 321.073,65| | | | 24.511.019,31|
 1.1.1.8.02.3.2.0001| Mult.e Juros de Mora do Imp.s/serv.qualq.natureza| Previsto| 100.546,51| 28.744,53| 59.045,74| 81.690,11| 45.037,87| 32.633,60| 32.819,34| 48.207,20| 47.540,08| 47.540,08| 46.675,94| | 570.481,00|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 23,64| | | | 77,12|
 | | Arrecadado| 122.085,43| 352.798,62| 238.329,40| 350.604,49| 365.483,71| 285.073,21| 392.093,51| 419.104,21| 191.912,31| | | | 2.717.484,89|
 1.1.1.8.02.3.4.0001| Multas e Juros de Mora da Divida Ativa do Issqn| Previsto| 63.315,31| 62.357,54| 74.269,71| 102.861,71| 81.789,37| 65.444,28| 73.638,42| 952.261,42| | | | | 1.475.937,76|
 | | %| 100,00| 100,00| 100,00| 100,09| 99,88| 100,00| 100,00| 100,00| | | | | 103,45|
 | | Arrecadado| 22.045,01| 15.657,34| 19.884,20| 17.538,34| 73.556,93| 70.847,90| 146.356,69| 317.029,78| 55.141,37| | | | 738.057,56|
 1.1.2.1.01.1.1.0001| Taxa de Fiscalizacao de Vigilancia Sanitaria| Previsto| 13.760,82| 9.324,81| 66.284,50| 416.597,27| 30.026,62| 18.450,20| 14.708,02| 18.281,98| 88.182,78| | | | 675.617,00|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 6,73| | | | 87,83|
 | | Arrecadado| 10.349,61| 5.806,94| 17.906,45| 7.167,52| 12.482,43| 73.196,28| 59.134,16| 22.041,09| 2.527,86| | | | 210.612,34|
 1.1.2.1.01.1.1.0003| Tx.lic.p/func.estab.com.,ind.e Prest.servicos| Previsto| 91.688,02| 74.805,53| 1.986.905,52| 215.259,88| 200.349,21| 361.954,17| 345.132,03| 152.341,37| 614.223,27| | | | 4.042.659,00|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 5,35| | | | 85,62|
 | | Arrecadado| 16.867,42| 3.108,05| 46.849,57| 25.935,25| 282.887,02| 10.249,14| 7.595,24| 8.276,08| 1.399,15| | | | 403.166,92|
 1.1.2.1.01.1.1.0005| Taxa de Licenca para Execucao de Obras| Previsto| | | | | | | | | | | | 1.000,00| 1.000,00|
 | | %| | | | | | | | | | | | | |
 | | Arrecadado| 1.105,84| 254,53| 480,80| 528,88| | | 1.586,64| 96,16| 48,08| | | | 4.100,93|
 1.1.2.1.01.1.1.0007| Taxa de Expediente| Previsto| 34.469,09| 43.201,27| 43.623,15| 32.924,50| 34.626,22| 32.595,25| 31.497,48| 36.371,58| 31.609,66| 31.609,66| 26.788,14| | 379.316,00|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 43,80| | | | 79,92|
 | | Arrecadado| | | | | | | | 8,34| | | | | 8,34|
 1.1.2.1.01.1.1.0009| Tx.fisc.oc.per.areas V.log.publico| Previsto| 283,97| 47,44| | 2.298,07| 1.294,29| 281,70| 65,52| 282,25| 1.758,75| 1.758,75| 1.758,75| 11.275,51| 21.105,00|
 | | %| 100,00| 100,00| | 100,00| 100,00| 100,00| 100,00| 100,00| | | | | 21,57|
 | | Arrecadado| 1.973,69| 307,34| 523,07| 2.572,91| 3.033,37| 2.306,87| 2.251,20| 2.878,13| 945,18| | | | 16.791,76|
 1.1.2.1.01.1.2.0002| Multas e Juros de Mora de Outros Tributos| Previsto| 22.844,53| 12.195,98| 35.488,72| 31.545,63| 38.881,00| 84.733,99| 86.576,71| 39.431,55| | | | | 351.698,11|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| | | | | 102,88|
 | | Arrecadado| 1.695,75| 7.405,36| 6.794,55| 5.175,53| 10.580,04| 20.105,57| 20.355,10| 29.127,16| 12.442,64| | | | 113.681,70|
 1.1.2.1.01.1.3.0002| Rec.da Tx.lic.func.est.coml.indl| Previsto| 11.364,46| 51.457,09| 47.847,45| 31.064,64| 102.568,89| 102.838,07| 202.553,96| 110.365,42| | | | | 660.059,98|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| | | | | 107,43|
 | | Arrecadado| 29,67| 146,16| 285,18| 215,49| 902,08| 1.804,26| 1.529,64| 1.385,11| 581,40| | | | 6.878,99|
 1.1.2.1.01.1.3.0004| Rec.d.a. Tx.publ.comercial| Previsto| 1.962,00| 3.466,54| 11.230,29| 3.388,07| 12.604,50| 21.511,65| 11.467,28| 15.050,69| | | | | 80.681,02|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| | | | | 108,85|
 | | Arrecadado| | | | | 40.974,60| | | | | | | | 40.974,60|
 1.1.2.1.01.1.4.0001| Mult.jur.mora da Div.ativa Tx.fisc.e Vig.sanitaria| Previsto| 1.070,96| 2.997,40| 3.858,45| 2.454,79| 2.400,27| 2.123,89| 3.215,21| 8.384,43| 2.791,00| 2.791,00| 1.404,60| | 33.492,00|
